REJECTION,PARTY,TYPE,PRECINCT
RECEIVED TOO LATE,REP,VOTE BY MAIL,108004
RECEIVED TOO LATE,REP,VOTE BY MAIL,108001
RECEIVED TOO LATE,NPP,VOTE BY MAIL,103005
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117007
RECEIVED TOO LATE,REP,VOTE BY MAIL,128008
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128008
RECEIVED TOO LATE,REP,VOTE BY MAIL,128015
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,109004
RECEIVED TOO LATE,DEM,VOTE BY MAIL,112005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117090
RECEIVED TOO LATE,REP,VOTE BY MAIL,117090
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117059
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117088
RECEIVED TOO LATE,DEM,VOTE BY MAIL,105002
RECEIVED TOO LATE,REP,VOTE BY MAIL,117090
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117104
RECEIVED TOO LATE,REP,VOTE BY MAIL,128015
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,128001
RECEIVED TOO LATE,REP,VOTE BY MAIL,117074
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128028
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117059
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128015
RECEIVED TOO LATE,REP,VOTE BY MAIL,103002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117010
RECEIVED TOO LATE,NPP,VOTE BY MAIL,102001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,105002
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,106009
RECEIVED TOO LATE,AI,VOTE BY MAIL,103010
RECEIVED TOO LATE,REP,VOTE BY MAIL,114001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117001
RECEIVED TOO LATE,REP,VOTE BY MAIL,117064
RECEIVED TOO LATE,REP,VOTE BY MAIL,108001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117014
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,119001
RECEIVED TOO LATE,NPP,VOTE BY MAIL,121001
